id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
0,Thompson,tube,7.0,3770.0,0.1754,9.218,10.8,432.0,3.6
1,Thompson,tube,10.26,6049.0,-0.0416,10.3,10.3,762.0,6.2
2,Thompson,tube,13.79,2034.0,0.0335,7.7,7.7,457.0,2.5
3,Beus,annulus,13.79,3679.0,-0.0279,5.6,15.2,2134.0,3.0
4,Weatherhead,tube,13.79,686.0,,11.1,11.1,457.0,2.8
5,Thompson,tube,17.24,3648.0,-0.0711,9.218,1.9,696.0,3.6
6,Thompson,tube,6.89,549.0,0.1203,12.8,12.8,1930.0,2.6
7,Peskov,tube,18.0,750.0,,10.0,10.0,1650.0,2.2
8,Thompson,tube,12.07,4042.0,-0.0536,9.218,9.218,152.0,5.6
9,Peskov,tube,12.0,1617.0,0.1228,10.0,10.0,520.0,2.2
10,Thompson,tube,10.26,3315.69,,1.9,1.9,152.0,3.2
11,Janssen,annulus,4.13,1519.0,0.0515,12.7,34.52,1778.0,4.6
12,Thompson,tube,6.89,7500.0,,9.218,12.8,1930.0,4.8
13,Peskov,tube,12.0,2794.0,-0.0297,10.0,10.0,1650.0,2.9
14,Thompson,tube,10.26,2306.0,-0.0719,1.9,1.9,152.0,3.8
15,Thompson,tube,12.07,3255.0,0.0406,1.9,1.9,152.0,2.9
16,Thompson,tube,6.89,4069.0,0.0141,10.8,10.8,680.588,5.3
17,Thompson,tube,10.41,2563.0,0.1092,4.6,4.6,229.0,6.8
18,Thompson,tube,10.26,1858.0,0.0406,9.218,10.8,432.0,3.4
19,Janssen,annulus,9.68,5615.0,-0.0204,6.4,15.9,914.0,6.2
20,Thompson,tube,10.26,3315.69,-0.0264,10.3,10.3,762.0,4.5
21,Thompson,tube,13.79,3315.69,-0.0579,1.9,1.9,152.0,4.7
22,Weatherhead,tube,13.79,1434.78,-0.0124,11.1,11.1,457.0,3.6
23,Beus,annulus,15.51,1355.0,,5.6,15.2,2134.0,2.1
24,Thompson,tube,10.26,2143.0,0.0332,7.8,7.8,680.588,2.9
25,Thompson,tube,13.79,6198.0,-0.137,4.7,9.218,318.0,9.2
26,Thompson,tube,18.96,3315.69,-0.246,1.9,9.218,152.0,4.0
27,Weatherhead,tube,13.79,1434.78,,11.1,11.1,457.0,3.5
28,Thompson,tube,13.79,2061.0,-0.0276,7.8,7.8,591.0,2.1
29,Weatherhead,tube,13.79,1434.78,-0.0638,7.7,7.7,457.0,4.9
30,Janssen,annulus,9.68,5615.0,0.0196,12.7,38.1,914.0,2.9
31,Peskov,tube,12.0,1408.0,0.1103,10.0,10.0,1650.0,1.4
32,Thompson,tube,13.79,933.0,-0.1005,7.8,7.8,591.0,2.3
33,Thompson,tube,4.96,4136.0,-0.0668,5.6,9.218,432.0,3.5
34,Thompson,tube,13.79,1275.0,,9.218,7.8,591.0,2.4
35,Weatherhead,tube,13.79,1926.0,0.0253,9.127,11.1,457.0,2.4
36,Thompson,tube,13.79,1655.0,,7.7,7.7,457.0,3.8
37,Janssen,annulus,7.0,1519.0,0.0052,12.7,34.52,1778.0,3.3
38,Thompson,tube,13.79,1482.0,0.0465,4.7,9.218,318.0,2.8
39,Thompson,tube,13.79,5588.0,,5.7,5.7,625.0,3.3
40,Inasaka,tube,12.07,6200.0,-0.0692,3.0,3.0,100.0,8.0
41,Weatherhead,tube,13.79,1356.0,0.1275,7.7,7.7,457.0,1.4
42,Thompson,tube,11.03,4069.0,-0.0263,9.3,9.3,762.0,5.0
43,Thompson,tube,18.96,2699.0,,1.9,1.9,696.0,2.2
44,Thompson,tube,15.51,2197.0,,1.9,9.218,696.0,2.5
45,Thompson,tube,10.34,6049.0,,10.3,10.3,762.0,10.8
46,Thompson,tube,6.89,3987.0,-0.0601,10.3,10.3,680.588,3.9
47,Thompson,tube,11.03,3391.0,0.0406,11.5,11.5,914.0,1.6
48,Thompson,tube,13.79,1021.0,0.0145,7.7,9.218,457.0,2.4
49,Beus,annulus,12.597,3677.0,0.0409,5.6,15.2,2134.0,1.3
50,Thompson,tube,10.26,1356.0,,7.7,9.218,680.588,2.6
51,Thompson,tube,17.24,3065.0,-0.1334,1.9,1.9,680.588,3.5
52,Thompson,tube,6.89,5778.0,-0.0251,10.3,10.3,762.0,5.9
53,Beus,annulus,11.03,2310.25,0.1716,5.6,15.2,2134.0,1.2
54,Thompson,tube,6.89,3315.69,0.0633,10.8,10.8,864.0,2.2
55,Thompson,tube,6.86,4069.0,0.0763,10.8,10.8,864.0,3.5
56,Thompson,tube,18.27,833.0,,3.0,3.0,150.0,7.1
57,Williams,tube,15.17,1335.0,,9.5,9.5,1836.0,2.9
58,Thompson,tube,13.79,4123.0,-0.1044,4.7,4.7,318.0,6.8
59,Thompson,tube,3.45,5479.0,0.0883,9.218,9.218,680.588,7.9
60,Thompson,tube,10.26,6022.0,,9.218,4.7,318.0,2.5
61,Thompson,tube,6.89,7785.0,-0.0008,9.218,10.3,680.588,4.7
62,Thompson,tube,13.79,1736.0,,9.218,7.8,591.0,2.0
63,Janssen,annulus,6.89,5533.0,0.0063,12.7,38.1,737.0,3.5
64,Thompson,tube,6.89,5533.0,-0.0251,9.218,9.218,762.0,7.5
65,Thompson,tube,13.79,6388.0,-0.112,9.218,4.7,318.0,5.1
66,Thompson,tube,10.26,2034.0,-0.0263,9.218,9.3,762.0,5.0
67,Janssen,annulus,6.89,5588.0,-0.0157,6.4,15.9,914.0,5.8
68,Thompson,tube,13.79,1356.0,,3.0,3.0,150.0,1.8
69,Thompson,tube,10.26,6212.0,-0.1392,4.7,4.7,318.0,3.5
